set of enemies,enemy_weights,seed_setting,run id,gen,train_max.fitness,train_mean.fitness,train_min.fitness,train_std.fitness,train_max.gain,train_mean.gain,train_min.gain,train_std.gain,test_max.fitness,test_mean.fitness,test_min.fitness,test_std.fitness,test_max.gain,test_mean.gain,test_min.gain,test_std.gain
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,17:29,5,31.976492,21.446251,16.383659,4.362348,-20.360443,-95.375245,-119.337578,25.444189,31.976492,21.446251,16.383659,4.362348,-0.668458,-15.409652,-37.583519,9.266724
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,17:29,6,31.976492,23.568164,18.252422,3.844828,-20.360443,-95.375245,-119.337578,25.444189,31.976492,23.568164,18.252422,3.844828,-0.668458,-12.57991,-33.140516,7.698942
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,17:29,7,31.976492,25.07821,20.594621,3.498376,-20.360443,-95.375245,-119.337578,25.444189,31.976492,25.07821,20.594621,3.498376,-0.668458,-11.530518,-24.242712,5.465629
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,17:29,8,34.004612,26.934682,22.319283,3.195026,-20.360443,-95.375245,-119.337578,25.444189,34.004612,26.934682,22.319283,3.195026,-0.668458,-12.02332,-23.72111,5.492824
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,17:29,9,34.004612,28.039979,24.497433,2.672421,-20.360443,-95.375245,-119.337578,25.444189,34.004612,28.039979,24.497433,2.672421,-0.668458,-11.622693,-23.72111,4.816253
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,17:29,10,34.004612,29.031239,25.319126,2.403755,-20.360443,-95.375245,-119.337578,25.444189,34.004612,29.031239,25.319126,2.403755,-0.668458,-10.684655,-21.607247,4.396821
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,23:09,0,5.775921,-5.965649,-21.249067,4.639632,-19.542433,-93.719399,-115.887592,25.530457,13.817364,-5.523764,-24.862581,6.514172,-24.560815,-92.865581,-119.461009,29.162195
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,23:09,1,11.328778,-1.766209,-5.90081,5.133438,-19.542433,-93.719399,-115.887592,25.530457,16.360794,0.271266,-6.143117,7.923128,-15.715463,-63.990404,-101.686895,35.651746
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,23:09,2,33.517884,8.413957,2.700216,7.00798,-19.542433,-93.719399,-115.887592,25.530457,29.543042,13.862421,0.64425,5.849147,-7.980038,-26.566855,-74.898431,11.398906
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,23:09,3,33.517884,11.260539,5.770366,7.714065,-19.542433,-93.719399,-115.887592,25.530457,29.543042,15.817676,3.821439,5.730006,-7.980038,-22.350324,-44.473299,7.302379
