set of enemies,enemy_weights,run id,gen,train_max.fitness,train_mean.fitness,train_min.fitness,train_std.fitness,train_max.gain,train_mean.gain,train_min.gain,train_std.gain,test_max.fitness,test_mean.fitness,test_min.fitness,test_std.fitness,test_max.gain,test_mean.gain,test_min.gain,test_std.gain
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,0,8.527299,-4.642632,-15.707853,5.721836,-7.917384,-85.910383,-116.592961,32.525583,11.919025,-5.097069,-17.556808,5.933199,-19.117762,-86.208235,-120.325029,33.673065
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,1,11.873528,-1.111518,-6.233692,5.25346,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,2,32.697329,5.554171,-0.839685,6.681492,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,3,32.697329,7.886623,3.019381,6.266037,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,4,32.697329,12.125802,4.104223,6.029261,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,5,32.697329,14.149115,7.461086,6.032736,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,6,34.2609,17.341294,10.230256,5.917579,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,7,34.2609,18.890726,10.240913,5.523663,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,8,34.2609,20.978989,15.509086,4.055716,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,9,34.421063,22.570205,17.592812,4.226044,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
